,address,type,label,n_in,n_out,n_ttl,avg_am_in,avg_am_out,avg_am_ttl,ttl_am_in,ttl_am_out,ttl_am_ttl,balance,balance_label,max_am_in,max_am_out,max_am_ttl,min_am_in,min_am_out,min_am_ttl,med_am_in,med_am_out,med_am_ttl,q1_am_in,q1_am_out,q1_am_ttl,q3_am_in,q3_am_out,q3_am_ttl,range_am_in,range_am_out,range_am_ttl,std_am_in,std_am_out,std_am_ttl,ske_am_in,ske_am_out,ske_am_ttl,kur_am_in,kur_am_out,kur_am_ttl,ske_am_in_label,ske_am_out_label,ske_am_ttl_label,kur_am_in_label,kur_am_out_label,kur_am_ttl_label,time_range_in,time_range_out,time_range_ttl,n_fre_in,n_fre_out,n_fre_ttl,am_fre_in,am_fre_out,am_fre_ttl,max_fee_to_in,n_pr80_fee_to_in,n_join_pr80_am,n_in_to_out_ratio,n_join_huge,n_join_pr80
1081,1D16jsT2uufbvTgxoBMDdfqXJRwKPaqP83,EXCHANGE,1,14,15,29,35646189.0,39936443.06666667,37865285.93103448,499046646,599046646,1098093292,100000000,0,150000000,150000000,150000000,40214,40214,40214,6169500.0,6839000.0,6839000.0,782250.0,851500.0,713000.0,71167500.0,75151800.0,71290000.0,149959786,149959786,149959786,47263652.7709386,48400591.6054762,47903094.0246089,1.08869206300547,0.8362611984885862,0.9541478637921916,0.0552622501940187,0.6362207341198358,0.382969497503197,0,0,0,1,0,1,144421340,151974956,151974956,9.693858262220805e-08,9.870047272788815e-08,1.9082091394058373e-07,3.455491037543344,3.941745809750391,7.225488467981527,0.021084144008725,0,23,0.9333333333333332,21,14
1082,1AdhJje1Z1BjYXDEznAZwUhGqtM7Kh26os,GAMBLING,2,22,24,46,2140078.136363636,2021890.25,2078414.891304348,47081719,48525366,95607085,1443647,0,6011505,6011505,6011505,18745,18745,18745,1592513.5,1450826.0,1476501.0,479580.0,492722.0,479580.0,3041100.5,2743185.5,3041100.5,5992760,5992760,5992760,1967547.9878421423,1924154.271605542,1945924.371770184,0.7677066419530723,0.9035104253927404,0.8373225293498633,0.7897262839828154,0.5608707952578253,0.6778645732832818,0,0,0,1,0,1,107897032,121119263,121119263,2.0389810166418666e-07,1.9815180018062038e-07,3.797909503461889e-07,0.4363578694175758,0.4006411928051445,0.7893631667821492,0.5886240825163255,2,46,0.9166666666666666,32,0
1083,1JibPRkTEVAz1M4ge31avzzctKPT7eNLjr,POOL,0,1,1,2,395928346.0,395928346.0,395928346.0,395928346,395928346,791856692,0,0,395928346,395928346,395928346,395928346,395928346,395928346,395928346.0,395928346.0,395928346.0,395928346.0,395928346.0,395928346.0,395928346.0,395928346.0,395928346.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,87929,1.0,1.0,2.2745624310523265e-05,395928346.0,395928346.0,9005.637412002867,1.3684369030794714e-05,0,0,1.0,2,2
1084,17WmufRma9jvEAna8zw8BQc9Z7xTQm2Zwy,POOL,0,377,444,821,1220251.371352785,1301576.3265765766,1264232.2241169305,460034767,577899889,1037934656,117865122,0,5630000,5630000,5630000,1,1,1,744824.0,844357.5,815122.0,630607.0,655090.75,645339.0,1710000.0,1812500.0,1790000.0,5629999,5629999,5629999,1055071.9018100053,1025341.2826745902,1039889.1075044016,1.4901513778661275,1.29165113538454,1.380962458424496,2.011364988798899,1.5689865150758715,1.758520635422749,0,0,0,0,0,0,713628,39567799,54622411,0.0005282864461596,1.1221245841852362e-05,1.5030460665678048e-05,644.6422603933702,14.60530794245088,19.0019927168722,0.9976720984369803,0,61,0.8490990990990991,821,820
1085,1AY2z3PGUdFAzYLa8royBgEbfiXoXYukeQ,GAMBLING,2,1,4,5,10000000.0,3204131.75,4563305.4,10000000,12816527,22816527,2816527,0,10000000,10000000,10000000,10000000,559915,559915,10000000.0,1128306.0,1600000.0,10000000.0,632437.75,656612.0,10000000.0,3700000.0,10000000.0,0,9440085,9440085,0.0,3944578.6543158432,4453894.09971596,,1.1189561589238084,0.3884040706951502,,0.6966827456698197,1.823814616595942,1,0,0,1,1,1,0,33529698,33529698,1.0,1.1929722719244296e-07,1.4912153399055368e-07,10000000.0,0.3822440333342698,0.6804871013153772,0.0093167795705121,3,5,0.25,1,0
1086,1QKd8dipkxegoYr1M2xozojYMwCrMum66z,POOL,0,2,2,4,988324510.0,988324510.0,988324510.0,1976649020,1976649020,3953298040,0,0,1976149020,1976149020,1976149020,500000,500000,500000,988324510.0,988324510.0,988324510.0,494412255.0,494412255.0,500000.0,1482236765.0,1482236765.0,1976149020.0,1975649020,1975649020,1975649020,987824510.0,987824510.0,987824510.0,0.0,0.0,0.0,2.0,2.0,2.0,0,0,0,1,0,1,494234,905747,1399092,4.046666154088954e-06,2.208122135651567e-06,2.8589971209898992e-06,3999.4193438735497,2182.3412277379884,2825.616928693753,0.0089663453606694,1,3,1.0,0,0
1087,1EnqNNHHbXkRtbZG2xeWM6hHjmnWRr6WSN,POOL,0,1,1,2,1143932.0,1143932.0,1143932.0,1143932,1143932,2287864,0,0,1143932,1143932,1143932,1143932,1143932,1143932,1143932.0,1143932.0,1143932.0,1143932.0,1143932.0,1143932.0,1143932.0,1143932.0,1143932.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,163169,1.0,1.0,1.2257230233684095e-05,1143932.0,1143932.0,14.021437895678714,0.0,0,0,1.0,0,0
1088,1HCe5eUd6Y2auc8RUYTWW6W35yYGugsD6R,POOL,0,2,2,4,1239075338.0,1239075338.0,1239075338.0,2478150676,2478150676,4956301352,0,0,2478150675,2478150675,2478150675,1,1,1,1239075338.0,1239075338.0,1239075338.0,619537669.5,619537669.5,1.0,1858613006.5,1858613006.5,2478150675.0,2478150674,2478150674,2478150674,1239075337.0,1239075337.0,1239075337.0,0.0,0.0,0.0,2.0,2.0,2.0,0,0,0,1,0,1,198270,7300,198270,1.0087254753618805e-05,0.0002739726027397,2.017450950723761e-05,12498.868593332323,339472.69534246577,24997.73718666465,0.0070085188546678,0,1,1.0,2,2
1089,1G6HRK6W6ijjcjVGYKwn97HLFyWfJtVdEi,EXCHANGE,1,11,12,23,6435288.2727272725,6593269.5,6517713.260869565,70788171,79119234,149907405,8331063,0,17769037,17769037,17769037,21455,21455,21455,3733056.0,6032059.5,3733056.0,779479.0,986518.5,779479.0,11438112.5,10719056.25,11438112.5,17747582,17747582,17747582,6136192.027361922,5898275.479337011,6013754.017227908,0.4527953402195834,0.3897370891914593,0.420345913586198,1.2794781747409856,1.1977443646889343,1.2398526155814464,0,0,0,1,0,1,13756579,13757106,13779299,7.996174048795126e-07,8.722764802422835e-07,1.6691705434362082e-06,5.145768508289743,5.7511539127488005,10.879174985607031,0.0149315635691174,1,22,0.9166666666666666,18,3
1090,12PStagi9phnP1Ravv3Cuf8eHdQF37jMXr,EXCHANGE,1,44,45,89,2735560.4318181816,2900034.9111111118,2818721.6853932585,120364659,130501571,250866230,10136912,0,20790315,20790315,20790315,109413,109413,109413,1021665.5,1049047.0,1049047.0,402553.0,432480.0,432480.0,1534305.5,1725536.0,1725536.0,20680902,20680902,20680902,4981712.769460905,5045418.173962105,5014698.805403357,2.699704475174989,2.5132974434396345,2.6034101342594136,6.196369725398116,5.315196511659616,5.73511206960691,0,0,0,0,0,0,31037234,31046201,31048071,1.4176521013438246e-06,1.4494527043743613e-06,2.866522689928144e-06,3.878072994520066,4.20346344469006,8.079929667772275,0.0104322344322344,2,89,0.9777777777777776,77,2
1091,18GFi3QxU5MzWDWSReRHRD8LRcyobcHX7F,GAMBLING,2,331,358,689,893405.7371601209,838056.0055865921,864646.3701015965,295717299,300024050,595741349,4306751,0,13119000,13119000,13119000,547,547,547,580000.0,546954.0,560000.0,380000.0,314181.0,340000.0,872890.0,831682.75,840000.0,13118453,13118453,13118453,1344856.3400882892,1308159.8570586764,1326204.1896305762,5.677494853011351,5.8159798350868055,5.746209937509016,41.3824834624491,43.819410648272815,42.59326000858656,0,0,0,0,0,0,96251424,109964458,109964458,3.438910160955125e-06,3.2555973676512825e-06,6.265660855619367e-06,3.0723420673755437,2.728372925732058,5.41758091509895,0.5515461687547588,33,628,0.9245810055865922,477,13
